station_id,lon,lat,name
2750,11.3208,50.2524,Kronach
2761,10.4163,48.2510,Krumbach-Edenhausen
2773,11.9016,49.4283,Kümmersbruck
2794,12.4093,52.9363,Kyritz
2796,12.2790,53.9156,Laage
2812,7.8280,48.3647,Lahr
2814,9.7645,48.5121,Merklingen
2829,10.9144,48.0772,Landsberg
2843,8.6547,50.0075,Langen
2856,13.0878,51.9173,Langenlipsdorf
2878,11.8785,51.3912,"Lauchstädt,"
2886,9.9097,48.2176,Laupheim
2905,10.8507,48.1849,Lechfeld
2907,8.9514,54.7903,Leck
2920,12.5121,48.7654,Leiblfing
2925,10.3123,51.3933,Leinefelde
2928,12.4462,51.3151,Leipzig-Holzhausen
2932,12.2396,51.4348,Leipzig/Halle
2947,8.0352,51.1334,Lennestadt-Theten
2951,11.4864,53.1007,Lenzen/Elbe
2953,8.2308,47.8597,Lenzkirch-Ruhbühl
2961,10.2737,54.4996,Leuchtturm
2968,6.9779,50.9895,Köln-Stammheim
2985,14.2093,50.9383,Lichtenhain-Mittelndorf
3015,14.1180,52.2085,Lindenberg
3023,7.3081,52.5181,Lingen
3028,8.8388,51.7855,"Lippspringe,"
3031,8.3943,51.6334,Lippstadt-Bökenförde
3032,8.4125,55.0110,List
3034,11.6350,50.4505,"Lobenstein,"
3042,8.2386,50.5617,Löhnberg-Obershausen
3044,7.7463,52.7216,Löningen
3083,13.8797,51.9267,Lübben-Blumenfelde
3085,10.6915,53.8773,Lübeck
3086,10.6988,53.8025,Lübeck-Blankensee
3093,11.1374,52.9724,Lüchow
3098,7.6425,51.2452,Lüdenscheid
3126,11.5827,52.1029,Magdeburg
3137,8.2139,49.9656,Mainz-Lerchenberg
3139,11.2965,48.2166,Maisach-Gernlinden
3147,12.2177,48.7726,Mallersdorf-Pfaffenberg/Niederbayern
3155,6.8009,50.1015,Manderscheid-Sonnenhof
3158,14.5452,52.5468,Manschnow
3164,8.7746,50.8492,"Cölbe,"
3166,13.1469,50.6510,Marienberg
3167,7.9602,50.6620,"Marienberg,"
3170,11.2405,54.4937,Marienleuchte
3196,11.9319,53.3223,Marnitz
3204,10.8815,50.7334,Martinroda
3226,11.5111,51.7259,Aschersleben-Mehringen
3231,10.3771,50.5612,Meiningen
3234,13.4327,51.1294,Garsebach
3244,10.1384,47.9820,Memmingen
3245,10.2333,47.9833,Memmingen
3246,7.3167,50.3667,Mendig
3254,7.3176,52.7156,Meppen
3257,9.7622,49.4773,"Mergentheim,"
3268,8.9938,48.1875,Meßstetten
3271,12.9187,48.8548,Metten
3278,9.2733,48.5376,Metzingen
3284,9.0085,49.6691,Michelstadt
3287,9.0997,49.7176,Michelstadt-Vielbrunn
3289,11.7838,50.7281,Schmieritz-Weltwitz
3307,11.2654,47.4778,Mittenwald-Buckelwiesen
3319,9.2530,49.7644,Röllbach
3340,7.8061,50.4383,Montabaur
3348,9.8352,51.7209,Moringen-Lutterbeck
3362,8.8734,48.9721,Mühlacker
3366,12.5024,48.2791,Mühldorf
3376,14.1232,52.5176,Müncheberg
